Lp.,Nazwa Podmiotu,Dyscyplina,Kategoria naukowa
282,"Instytut Technologiczno-Przyrodniczy - Państwowy InstytutBadawczy",rolnictwo i ogrodnictwo,B+
283,Instytut Technologii Bezpieczeństwa MORATEX,inżynieria materiałowa,B
284,Instytut Transportu Samochodowego,inżynieria lądowa i transport,B+
285,"Instytut Uprawy Nawożenia i Gleboznawstwa - PaństwowyInstytut Badawczy",rolnictwo i ogrodnictwo,A
286,"Instytut Włókien Naturalnych i Roślin Zielarskich - PaństwowyInstytut Badawczy",rolnictwo i ogrodnictwo,A
287,Instytut Wysokich Ciśnień Polskiej Akademii Nauk,inżynieria materiałowa,A
288,Instytut Wysokich Ciśnień Polskiej Akademii Nauk,nauki fizyczne,A
289,Instytut Wzornictwa Przemysłowego Sp. z o.o.,"sztuki plastyczne i konserwacja dziełsztuki",A
290,Instytut Zootechniki - Państwowy Instytut Badawczy,zootechnika i rybactwo,A+
291,Karpacka Państwowa Uczelnia w Krośnie,nauki o zarządzaniu i jakości,C
292,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,ekonomia i finanse,B
293,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,filozofia,A
294,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,historia,B+
295,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,językoznawstwo,A
296,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,literaturoznawstwo,A
297,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,nauki biologiczne,B+
298,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,nauki o polityce i administracji,B+
299,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,nauki o sztuce,B+
300,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,nauki prawne,B+
